Vehicle_ID,Vehicle_Type,Battery_Capacity_kWh,Vehicle_Age_Years
VEH02366,SUV,40.0,9
VEH02367,SUV,70.0,7
VEH02368,Pickup,70.0,9
VEH02369,Sedan,40.0,9
VEH02370,SUV,80.0,1
VEH02371,Sedan,50.0,5
VEH02372,SUV,40.0,0
VEH02373,SUV,50.0,9
VEH02374,Sedan,40.0,0
VEH02375,Pickup,50.0,0
VEH02376,Pickup,60.0,6
VEH02377,SUV,70.0,5
VEH02378,SUV,70.0,6
VEH02379,Sedan,40.0,3
VEH02380,Pickup,90.0,11
VEH02381,Van,50.0,5
VEH02382,SUV,60.0,11
VEH02383,Sedan,70.0,7
VEH02384,SUV,70.0,1
VEH02385,Sedan,70.0,3
VEH02386,SUV,40.0,1
VEH02387,Hatchback,50.0,3
VEH02388,Pickup,40.0,2
VEH02389,SUV,50.0,0
VEH02390,Pickup,80.0,8
VEH02391,SUV,60.0,4
VEH02392,SUV,80.0,10
VEH02393,SUV,60.0,0
VEH02394,SUV,100.0,6
VEH02395,Sedan,60.0,11
VEH02396,Pickup,50.0,3
VEH02397,Sedan,50.0,1
VEH02398,SUV,60.0,7
VEH02399,SUV,80.0,7
VEH02400,Hatchback,70.0,8
VEH02401,Hatchback,80.0,3
VEH02402,Hatchback,80.0,6
VEH02403,Sedan,80.0,1
VEH02404,SUV,80.0,1
VEH02405,Hatchback,50.0,7
VEH02406,Van,90.0,0
VEH02407,Van,80.0,10
VEH02408,Sedan,40.0,2
VEH02409,Pickup,40.0,5
VEH02410,Sedan,70.0,2
VEH02411,Sedan,70.0,2
VEH02412,SUV,40.0,10
VEH02413,Pickup,70.0,2
VEH02414,Pickup,90.0,0
VEH02415,Hatchback,50.0,4
VEH02416,Sedan,60.0,3
VEH02417,Sedan,60.0,2
VEH02418,Sedan,70.0,5
VEH02419,SUV,100.0,11
VEH02420,SUV,70.0,3
VEH02421,Sedan,60.0,2
VEH02422,Sedan,80.0,9
VEH02423,Hatchback,40.0,1
VEH02424,Pickup,90.0,10
VEH02425,SUV,80.0,8
VEH02426,Hatchback,90.0,7
VEH02427,Pickup,60.0,9
VEH02428,Pickup,90.0,8
VEH02429,Hatchback,60.0,9
VEH02430,Hatchback,90.0,6
VEH02431,SUV,70.0,0
VEH02432,Sedan,50.0,0
VEH02433,Sedan,40.0,3
VEH02434,Van,80.0,7
VEH02435,Sedan,40.0,3
VEH02436,SUV,70.0,4
VEH02437,Sedan,50.0,10
VEH02438,SUV,80.0,2
VEH02439,Sedan,40.0,2
VEH02440,Pickup,70.0,10
VEH02441,SUV,80.0,7
VEH02442,Hatchback,60.0,4
VEH02443,Hatchback,100.0,5
VEH02444,Van,80.0,7
VEH02445,Pickup,80.0,1
VEH02446,SUV,60.0,2
VEH02447,Hatchback,40.0,10
VEH02448,Sedan,80.0,1
VEH02449,SUV,60.0,10
VEH02450,Hatchback,80.0,4
VEH02451,Hatchback,50.0,3
VEH02452,Pickup,50.0,8
VEH02453,Sedan,50.0,10
VEH02454,Pickup,60.0,6
VEH02455,Van,100.0,5
VEH02456,Sedan,70.0,8
VEH02457,SUV,80.0,7
VEH02458,Sedan,60.0,9
VEH02459,Hatchback,80.0,11
VEH02460,SUV,40.0,2
VEH02461,Hatchback,80.0,4
VEH02462,Sedan,90.0,0
VEH02463,Sedan,60.0,5
VEH02464,Pickup,70.0,1
VEH02465,SUV,80.0,4
VEH02466,SUV,60.0,2
VEH02467,Sedan,40.0,5
VEH02468,Hatchback,70.0,2
VEH02469,Hatchback,60.0,9
VEH02470,SUV,50.0,0
VEH02471,Pickup,60.0,3
VEH02472,Sedan,50.0,0
VEH02473,Pickup,70.0,7
VEH02474,Van,40.0,3
VEH02475,SUV,60.0,3
VEH02476,Sedan,70.0,3
VEH02477,SUV,70.0,8
VEH02478,SUV,90.0,11
VEH02479,SUV,80.0,8
VEH02480,Pickup,70.0,4
VEH02481,Sedan,50.0,4
VEH02482,Van,90.0,9
VEH02483,SUV,50.0,7
VEH02484,Hatchback,60.0,4
VEH02485,SUV,90.0,1
VEH02486,SUV,40.0,11
VEH02487,Pickup,60.0,5
VEH02488,SUV,80.0,11
VEH02489,Sedan,70.0,9
VEH02490,Pickup,80.0,6
VEH02491,Hatchback,60.0,6
VEH02492,Sedan,70.0,1
VEH02493,Pickup,90.0,0
VEH02494,Sedan,60.0,11
VEH02495,Van,80.0,1
VEH02496,Pickup,40.0,1
VEH02497,Hatchback,60.0,2
VEH02498,SUV,80.0,4
VEH02499,Van,60.0,5
VEH02500,Van,60.0,4
VEH02501,Hatchback,70.0,2
VEH02502,Sedan,70.0,3
VEH02503,Sedan,40.0,2
VEH02504,SUV,70.0,4
VEH02505,Sedan,60.0,4
VEH02506,SUV,50.0,6
VEH02507,Sedan,50.0,5
VEH02508,SUV,90.0,4
VEH02509,Sedan,60.0,4
VEH02510,Pickup,80.0,4
VEH02511,Sedan,90.0,1
VEH02512,Sedan,80.0,11
VEH02513,Sedan,60.0,6
VEH02514,SUV,90.0,6
VEH02515,Pickup,50.0,5
VEH02516,SUV,100.0,7
VEH02517,Sedan,60.0,11
VEH02518,Hatchback,90.0,4
VEH02519,Hatchback,70.0,6
VEH02520,Hatchback,100.0,2
VEH02521,Sedan,50.0,5
VEH02522,SUV,40.0,4
VEH02523,Pickup,70.0,7
VEH02524,Sedan,70.0,9
VEH02525,Pickup,50.0,7
VEH02526,SUV,50.0,3
VEH02527,Hatchback,60.0,2
VEH02528,Hatchback,80.0,8
VEH02529,Pickup,40.0,10
VEH02530,SUV,80.0,3
VEH02531,SUV,80.0,7
VEH02532,Sedan,70.0,0
VEH02533,Hatchback,50.0,11
VEH02534,Sedan,50.0,1
VEH02535,Sedan,40.0,3
VEH02536,Pickup,70.0,5
VEH02537,Sedan,50.0,7
VEH02538,Hatchback,90.0,0
VEH02539,SUV,50.0,1
VEH02540,Hatchback,90.0,6
VEH02541,Hatchback,80.0,0
VEH02542,SUV,50.0,2
VEH02543,Hatchback,70.0,1
VEH02544,Hatchback,60.0,10
VEH02545,SUV,60.0,4
VEH02546,SUV,40.0,2
VEH02547,Sedan,60.0,4
VEH02548,Sedan,40.0,8
VEH02549,SUV,70.0,1
VEH02550,SUV,60.0,9
VEH02551,Van,60.0,7
VEH02552,Pickup,80.0,2
VEH02553,SUV,100.0,10
VEH02554,Hatchback,90.0,4
VEH02555,SUV,40.0,5
VEH02556,SUV,100.0,0
VEH02557,SUV,50.0,7
VEH02558,Sedan,40.0,7
VEH02559,SUV,40.0,2
VEH02560,SUV,90.0,11
VEH02561,Pickup,40.0,10
VEH02562,Hatchback,40.0,0
VEH02563,Sedan,40.0,2
VEH02564,Sedan,50.0,3
VEH02565,Van,100.0,0
VEH02566,SUV,100.0,9
VEH02567,Sedan,50.0,4
VEH02568,SUV,80.0,8
VEH02569,Van,40.0,7
VEH02570,SUV,80.0,2
VEH02571,Sedan,80.0,11
VEH02572,Hatchback,60.0,9
VEH02573,SUV,90.0,5
VEH02574,Van,80.0,4
VEH02575,Sedan,90.0,7
VEH02576,SUV,50.0,5
VEH02577,Hatchback,70.0,8
VEH02578,Sedan,80.0,8
VEH02579,SUV,100.0,2
VEH02580,Van,40.0,0
VEH02581,Sedan,90.0,10
VEH02582,Sedan,60.0,3
VEH02583,Hatchback,70.0,3
VEH02584,Hatchback,40.0,8
VEH02585,SUV,100.0,7
VEH02586,Pickup,90.0,2
VEH02587,Pickup,60.0,5
VEH02588,Hatchback,50.0,6
VEH02589,Sedan,60.0,1
VEH02590,Van,80.0,10
VEH02591,SUV,80.0,8
VEH02592,SUV,60.0,4
VEH02593,Pickup,70.0,8
VEH02594,SUV,70.0,4
VEH02595,SUV,60.0,5
VEH02596,SUV,90.0,11
VEH02597,Pickup,70.0,2
VEH02598,SUV,50.0,5
VEH02599,Sedan,50.0,1
VEH02600,Pickup,90.0,0
VEH02601,Hatchback,70.0,5
VEH02602,SUV,70.0,10
VEH02603,Pickup,70.0,0
VEH02604,SUV,90.0,6
VEH02605,SUV,60.0,3
VEH02606,Van,90.0,1
VEH02607,Hatchback,70.0,7
VEH02608,Pickup,50.0,4
VEH02609,Sedan,40.0,3
VEH02610,Sedan,90.0,7
VEH02611,Pickup,70.0,10
VEH02612,Sedan,70.0,10
VEH02613,Sedan,60.0,11
VEH02614,Sedan,50.0,3
VEH02615,Sedan,60.0,9
VEH02616,Hatchback,50.0,10
VEH02617,Pickup,80.0,6
VEH02618,SUV,80.0,0
VEH02619,Van,40.0,11
VEH02620,Pickup,40.0,6
VEH02621,Sedan,50.0,11
VEH02622,SUV,60.0,11
VEH02623,Pickup,70.0,1
VEH02624,SUV,70.0,5
VEH02625,Sedan,90.0,1
VEH02626,Pickup,60.0,6
VEH02627,Hatchback,50.0,4
VEH02628,Pickup,40.0,5
VEH02629,Van,60.0,6
VEH02630,SUV,80.0,7
VEH02631,Sedan,60.0,3
VEH02632,Sedan,60.0,10
VEH02633,Sedan,50.0,5
VEH02634,Sedan,50.0,4
VEH02635,Hatchback,40.0,5
VEH02636,Sedan,80.0,7
VEH02637,Sedan,50.0,7
VEH02638,SUV,60.0,6
VEH02639,SUV,40.0,9
VEH02640,Hatchback,70.0,0
VEH02641,Hatchback,90.0,2
VEH02642,Van,100.0,1
VEH02643,Sedan,100.0,7
VEH02644,Sedan,80.0,1
VEH02645,Van,90.0,4
VEH02646,Van,50.0,8
VEH02647,Sedan,70.0,3
VEH02648,Sedan,90.0,4
VEH02649,Sedan,60.0,3
VEH02650,Pickup,90.0,11
VEH02651,Hatchback,100.0,2
VEH02652,SUV,70.0,8
VEH02653,Sedan,40.0,2
VEH02654,Sedan,60.0,1
VEH02655,Hatchback,50.0,5
VEH02656,Sedan,40.0,9
VEH02657,Sedan,70.0,11
VEH02658,SUV,50.0,4
VEH02659,SUV,70.0,11
VEH02660,Pickup,50.0,3
VEH02661,Sedan,60.0,1
VEH02662,Hatchback,70.0,11
VEH02663,Sedan,80.0,8
VEH02664,SUV,100.0,11
VEH02665,Van,50.0,4
VEH02666,Hatchback,60.0,9
VEH02667,Sedan,50.0,2
VEH02668,SUV,70.0,0
VEH02669,Sedan,50.0,2
VEH02670,Sedan,60.0,8
VEH02671,SUV,60.0,5
VEH02672,Sedan,80.0,9
VEH02673,SUV,60.0,2
VEH02674,SUV,60.0,7
VEH02675,Sedan,40.0,5
VEH02676,SUV,70.0,6
VEH02677,SUV,60.0,5
VEH02678,SUV,90.0,7
VEH02679,SUV,100.0,11
VEH02680,SUV,50.0,9
VEH02681,Hatchback,40.0,4
VEH02682,Hatchback,40.0,3
VEH02683,Sedan,70.0,11
VEH02684,Pickup,60.0,4
VEH02685,Sedan,60.0,7
VEH02686,Sedan,90.0,9
VEH02687,Sedan,60.0,6
VEH02688,Pickup,60.0,6
VEH02689,Sedan,90.0,1
VEH02690,Sedan,60.0,3
VEH02691,Hatchback,100.0,3
VEH02692,Pickup,70.0,2
VEH02693,Sedan,50.0,6
VEH02694,SUV,60.0,6
VEH02695,Van,40.0,11
VEH02696,Pickup,70.0,9
VEH02697,Hatchback,60.0,8
VEH02698,Sedan,70.0,5
VEH02699,Pickup,40.0,3
VEH02700,Pickup,70.0,9
VEH02701,Pickup,70.0,2
VEH02702,Hatchback,40.0,6
VEH02703,SUV,80.0,0
VEH02704,Sedan,70.0,3
VEH02705,Pickup,50.0,10
VEH02706,Sedan,50.0,5
VEH02707,SUV,70.0,5
VEH02708,Hatchback,70.0,11
VEH02709,SUV,70.0,1
VEH02710,Sedan,40.0,10
VEH02711,Hatchback,60.0,4
VEH02712,Sedan,70.0,10
VEH02713,Sedan,60.0,5
VEH02714,Hatchback,80.0,3
VEH02715,SUV,60.0,3
VEH02716,Pickup,50.0,2
VEH02717,Pickup,70.0,10
VEH02718,Van,80.0,10
VEH02719,Van,70.0,4
VEH02720,Sedan,50.0,1
VEH02721,SUV,100.0,1
VEH02722,Hatchback,40.0,3
VEH02723,Sedan,90.0,3
VEH02724,Van,50.0,3
VEH02725,Sedan,90.0,11
VEH02726,Hatchback,50.0,2
VEH02727,Sedan,60.0,1
VEH02728,Sedan,60.0,0
VEH02729,Sedan,60.0,8
VEH02730,SUV,40.0,6
VEH02731,Sedan,50.0,2
VEH02732,Hatchback,80.0,5
VEH02733,SUV,50.0,9
VEH02734,Sedan,70.0,10
VEH02735,SUV,70.0,3
VEH02736,Hatchback,60.0,0
VEH02737,Pickup,40.0,10
VEH02738,SUV,60.0,3
VEH02739,Sedan,40.0,9
VEH02740,Hatchback,80.0,3
VEH02741,Sedan,50.0,0
VEH02742,SUV,80.0,9
VEH02743,Pickup,90.0,1
VEH02744,Hatchback,100.0,11
VEH02745,Sedan,40.0,10
VEH02746,SUV,40.0,4
VEH02747,Sedan,60.0,9
VEH02748,Sedan,60.0,2
VEH02749,Hatchback,60.0,7
VEH02750,Pickup,80.0,4
VEH02751,Hatchback,90.0,6
VEH02752,Pickup,90.0,11
VEH02753,Hatchback,40.0,7
VEH02754,SUV,40.0,6
VEH02755,Van,60.0,11
VEH02756,Van,50.0,3
VEH02757,SUV,90.0,7
VEH02758,Sedan,50.0,5
VEH02759,SUV,90.0,3
VEH02760,Van,60.0,9
VEH02761,SUV,100.0,11
VEH02762,SUV,50.0,10
VEH02763,Hatchback,70.0,3
VEH02764,SUV,70.0,3
VEH02765,Hatchback,60.0,3
VEH02766,SUV,50.0,9
VEH02767,Sedan,70.0,4
VEH02768,Sedan,60.0,6
VEH02769,SUV,70.0,3
VEH02770,Sedan,50.0,4
VEH02771,Sedan,50.0,0
VEH02772,Pickup,80.0,4
VEH02773,Hatchback,60.0,5
VEH02774,Sedan,70.0,9
VEH02775,Sedan,70.0,6
VEH02776,Van,60.0,1
VEH02777,SUV,60.0,6
VEH02778,Sedan,50.0,8
VEH02779,SUV,100.0,9
VEH02780,SUV,40.0,9
VEH02781,Sedan,90.0,8
VEH02782,Pickup,40.0,10
VEH02783,Sedan,40.0,11
VEH02784,Sedan,70.0,4
VEH02785,Sedan,40.0,0
VEH02786,Sedan,40.0,2
VEH02787,Pickup,60.0,8
VEH02788,Pickup,100.0,2
VEH02789,Sedan,60.0,7
VEH02790,Van,80.0,0
VEH02791,SUV,80.0,11
VEH02792,Sedan,90.0,8
VEH02793,SUV,50.0,10
VEH02794,Sedan,80.0,2
VEH02795,SUV,60.0,6
VEH02796,Sedan,60.0,2
VEH02797,Sedan,60.0,4
VEH02798,SUV,60.0,6
VEH02799,Hatchback,60.0,0
VEH02800,Pickup,70.0,7
VEH02801,SUV,90.0,11
VEH02802,Sedan,80.0,1
VEH02803,SUV,70.0,3
VEH02804,Hatchback,100.0,2
VEH02805,SUV,70.0,4
VEH02806,Pickup,40.0,2
VEH02807,Van,40.0,8
VEH02808,Pickup,50.0,4
VEH02809,Hatchback,80.0,10
VEH02810,Van,60.0,6
VEH02811,Sedan,80.0,1
VEH02812,Sedan,50.0,7
VEH02813,Pickup,80.0,9
VEH02814,SUV,60.0,10
VEH02815,SUV,70.0,3
VEH02816,SUV,80.0,10
VEH02817,Sedan,70.0,9
VEH02818,SUV,50.0,8
VEH02819,Hatchback,70.0,8
VEH02820,SUV,50.0,4
VEH02821,Pickup,90.0,5
VEH02822,Hatchback,60.0,5
VEH02823,Sedan,80.0,2
VEH02824,Hatchback,70.0,9
VEH02825,Hatchback,90.0,1
VEH02826,Van,80.0,4
VEH02827,SUV,60.0,5
VEH02828,Sedan,60.0,2
VEH02829,Sedan,40.0,5
VEH02830,Sedan,60.0,7
VEH02831,Hatchback,50.0,5
VEH02832,Sedan,70.0,3
VEH02833,Sedan,50.0,5
VEH02834,Van,90.0,6
VEH02835,Sedan,90.0,5
VEH02836,SUV,70.0,4
VEH02837,SUV,50.0,0
VEH02838,Van,70.0,2
VEH02839,Pickup,50.0,10
VEH02840,Hatchback,50.0,4
VEH02841,Van,60.0,9
VEH02842,Sedan,80.0,7
VEH02843,Sedan,50.0,5
VEH02844,SUV,60.0,3
VEH02845,SUV,70.0,5
VEH02846,Pickup,60.0,2
VEH02847,Sedan,70.0,1
VEH02848,SUV,80.0,4
VEH02849,Hatchback,80.0,8
VEH02850,SUV,90.0,7
VEH02851,Hatchback,70.0,8
VEH02852,Hatchback,70.0,7
VEH02853,SUV,40.0,0
VEH02854,SUV,70.0,6
VEH02855,SUV,60.0,6
VEH02856,Sedan,40.0,8
VEH02857,Hatchback,90.0,9
VEH02858,Van,60.0,10
VEH02859,Sedan,50.0,2
VEH02860,SUV,40.0,6
VEH02861,Hatchback,90.0,2
VEH02862,SUV,70.0,7
VEH02863,Sedan,50.0,7
VEH02864,SUV,60.0,6
VEH02865,Sedan,80.0,8
VEH02866,Sedan,40.0,2
VEH02867,Hatchback,70.0,3
VEH02868,Hatchback,50.0,7
VEH02869,Van,80.0,6
VEH02870,Sedan,70.0,4
VEH02871,SUV,40.0,4
VEH02872,Hatchback,50.0,4
VEH02873,SUV,50.0,3
VEH02874,Van,50.0,7
VEH02875,Sedan,70.0,2
VEH02876,Van,40.0,9
VEH02877,Van,60.0,9
VEH02878,SUV,90.0,9
VEH02879,Hatchback,40.0,10
VEH02880,Pickup,90.0,6
VEH02881,Sedan,60.0,9
VEH02882,Hatchback,60.0,0
VEH02883,SUV,60.0,4
VEH02884,Sedan,100.0,0
VEH02885,Hatchback,70.0,4
VEH02886,SUV,70.0,4
VEH02887,Sedan,80.0,0
VEH02888,Pickup,70.0,9
VEH02889,Hatchback,50.0,4
VEH02890,SUV,90.0,3
VEH02891,Hatchback,60.0,10
VEH02892,Hatchback,50.0,2
VEH02893,SUV,70.0,6
VEH02894,Sedan,60.0,11
VEH02895,Sedan,60.0,6
VEH02896,SUV,60.0,5
VEH02897,Pickup,60.0,7
VEH02898,Pickup,60.0,6
VEH02899,Sedan,70.0,4
VEH02900,Sedan,50.0,3
VEH02901,Sedan,50.0,8
VEH02902,Hatchback,40.0,0
VEH02903,SUV,70.0,11
VEH02904,Sedan,40.0,7
VEH02905,SUV,90.0,11
VEH02906,Hatchback,90.0,11
VEH02907,Sedan,60.0,8
VEH02908,Sedan,60.0,8
VEH02909,SUV,40.0,4
VEH02910,SUV,50.0,8
VEH02911,Hatchback,90.0,11
VEH02912,SUV,70.0,7
VEH02913,Pickup,60.0,5
VEH02914,Van,80.0,4
VEH02915,Sedan,70.0,6
VEH02916,Hatchback,90.0,8
VEH02917,Van,40.0,5
VEH02918,Sedan,60.0,0
VEH02919,Hatchback,80.0,11
VEH02920,SUV,70.0,1
VEH02921,Pickup,50.0,1
VEH02922,Hatchback,50.0,0
VEH02923,Van,70.0,10
VEH02924,SUV,100.0,10
VEH02925,Sedan,40.0,9
VEH02926,SUV,70.0,1
VEH02927,Van,60.0,5
VEH02928,Pickup,80.0,9
VEH02929,SUV,40.0,3
VEH02930,Sedan,40.0,2
VEH02931,Sedan,50.0,0
VEH02932,Pickup,80.0,11
VEH02933,SUV,50.0,3
VEH02934,SUV,80.0,1
VEH02935,Pickup,60.0,9
VEH02936,Sedan,80.0,4
VEH02937,SUV,70.0,6
VEH02938,Pickup,40.0,6
VEH02939,SUV,80.0,8
VEH02940,SUV,80.0,7
VEH02941,Van,90.0,0
VEH02942,Hatchback,80.0,6
VEH02943,Van,50.0,2
VEH02944,SUV,60.0,3
VEH02945,SUV,60.0,4
VEH02946,Sedan,50.0,3
VEH02947,SUV,90.0,1
VEH02948,Hatchback,80.0,2
VEH02949,Pickup,40.0,2
VEH02950,Van,100.0,1
VEH02951,Pickup,60.0,8
VEH02952,SUV,50.0,0
VEH02953,Hatchback,70.0,6
VEH02954,Hatchback,40.0,10
VEH02955,Sedan,50.0,11
VEH02956,Sedan,60.0,0
VEH02957,Hatchback,90.0,5
VEH02958,Sedan,70.0,3
VEH02959,Pickup,80.0,4
VEH02960,SUV,70.0,8
VEH02961,SUV,50.0,11
VEH02962,Hatchback,50.0,9
VEH02963,Hatchback,50.0,4
VEH02964,Sedan,40.0,3
VEH02965,SUV,40.0,7
VEH02966,SUV,90.0,2
VEH02967,Hatchback,100.0,9
VEH02968,SUV,50.0,6
VEH02969,Sedan,40.0,4
VEH02970,Hatchback,100.0,7
VEH02971,Hatchback,80.0,1
VEH02972,Hatchback,40.0,8
VEH02973,Hatchback,80.0,3
VEH02974,SUV,50.0,11
VEH02975,Sedan,50.0,8
VEH02976,Sedan,50.0,7
VEH02977,SUV,80.0,11
VEH02978,Hatchback,40.0,11
VEH02979,Sedan,70.0,1
VEH02980,Van,50.0,0
VEH02981,SUV,80.0,10
VEH02982,Sedan,70.0,0
VEH02983,SUV,90.0,3
VEH02984,Sedan,100.0,2
VEH02985,SUV,50.0,11
VEH02986,Sedan,60.0,4
VEH02987,Sedan,80.0,10
VEH02988,Van,40.0,4
VEH02989,Sedan,70.0,7
VEH02990,Sedan,50.0,11
VEH02991,SUV,70.0,10
VEH02992,SUV,40.0,11
VEH02993,Sedan,90.0,8
VEH02994,Van,50.0,9
VEH02995,Sedan,60.0,0
VEH02996,Van,80.0,8
VEH02997,Hatchback,60.0,6
VEH02998,Sedan,50.0,10
VEH02999,Sedan,50.0,1
VEH03000,Pickup,90.0,2
VEH03001,Sedan,70.0,1
VEH03002,Pickup,50.0,0
VEH03003,Pickup,60.0,4
VEH03004,SUV,70.0,7
VEH03005,SUV,70.0,1
VEH03006,SUV,50.0,0
VEH03007,SUV,50.0,5
VEH03008,Hatchback,80.0,6
VEH03009,Van,50.0,1
VEH03010,Van,60.0,4
VEH03011,SUV,70.0,7
VEH03012,Hatchback,60.0,6
VEH03013,Pickup,100.0,1
VEH03014,SUV,40.0,0
VEH03015,Sedan,50.0,9
VEH03016,Van,60.0,0
VEH03017,Hatchback,100.0,4
VEH03018,Sedan,50.0,0
VEH03019,Pickup,70.0,6
VEH03020,SUV,60.0,5
VEH03021,Sedan,100.0,4
VEH03022,Hatchback,90.0,7
VEH03023,Sedan,100.0,8
VEH03024,SUV,60.0,11
VEH03025,Sedan,50.0,3
VEH03026,SUV,60.0,9
VEH03027,Van,70.0,8
VEH03028,Sedan,50.0,6
VEH03029,SUV,100.0,9
VEH03030,Sedan,70.0,10
VEH03031,Sedan,50.0,1
VEH03032,SUV,40.0,7
VEH03033,SUV,60.0,5
VEH03034,Hatchback,90.0,1
VEH03035,Pickup,60.0,10
VEH03036,SUV,60.0,11
VEH03037,SUV,40.0,0
VEH03038,Sedan,70.0,11
VEH03039,Sedan,90.0,0
VEH03040,Pickup,50.0,10
VEH03041,SUV,60.0,4
VEH03042,SUV,60.0,4
VEH03043,Pickup,50.0,9
VEH03044,Van,40.0,8
VEH03045,Hatchback,50.0,2
VEH03046,Sedan,40.0,10
VEH03047,Hatchback,80.0,10
VEH03048,Pickup,100.0,7
VEH03049,Van,70.0,0
VEH03050,SUV,50.0,4
VEH03051,Hatchback,100.0,3
VEH03052,Hatchback,60.0,5
VEH03053,Hatchback,40.0,6
VEH03054,Sedan,60.0,7
VEH03055,Pickup,70.0,6
VEH03056,Sedan,50.0,4
VEH03057,Van,60.0,0
VEH03058,Hatchback,60.0,3
VEH03059,Sedan,80.0,2
VEH03060,SUV,70.0,4
VEH03061,Sedan,60.0,6
VEH03062,Pickup,80.0,8
VEH03063,Hatchback,80.0,8
VEH03064,SUV,70.0,5
VEH03065,Sedan,40.0,11
VEH03066,Sedan,50.0,11
VEH03067,Hatchback,50.0,6
VEH03068,Sedan,50.0,9
VEH03069,Sedan,70.0,10
VEH03070,Hatchback,50.0,10
VEH03071,Sedan,50.0,9
VEH03072,Sedan,50.0,7
VEH03073,Van,50.0,5
VEH03074,SUV,80.0,5
VEH03075,Pickup,60.0,11
VEH03076,SUV,60.0,2
VEH03077,SUV,90.0,10
VEH03078,SUV,80.0,6
VEH03079,Sedan,60.0,4
VEH03080,Pickup,90.0,6
VEH03081,Van,60.0,8
VEH03082,Hatchback,40.0,6
VEH03083,Sedan,40.0,0
VEH03084,SUV,40.0,9
VEH03085,SUV,60.0,8
VEH03086,Pickup,80.0,0
VEH03087,SUV,50.0,6
VEH03088,SUV,50.0,11
VEH03089,Sedan,80.0,2
VEH03090,Sedan,70.0,0
VEH03091,Pickup,40.0,10
VEH03092,SUV,50.0,6
VEH03093,SUV,40.0,8
VEH03094,SUV,70.0,3
VEH03095,Sedan,70.0,5
VEH03096,Pickup,40.0,3
VEH03097,SUV,40.0,4
VEH03098,Pickup,80.0,3
VEH03099,Sedan,40.0,9
VEH03100,Van,70.0,4
VEH03101,Van,70.0,1
VEH03102,Hatchback,80.0,7
VEH03103,SUV,70.0,1
VEH03104,Hatchback,40.0,1
VEH03105,Sedan,50.0,6
VEH03106,Sedan,70.0,11
VEH03107,Hatchback,80.0,5
VEH03108,Sedan,60.0,10
VEH03109,SUV,70.0,1
VEH03110,Pickup,90.0,5
VEH03111,Sedan,40.0,11
VEH03112,Sedan,50.0,2
VEH03113,Pickup,80.0,6
VEH03114,Sedan,100.0,4
VEH03115,SUV,80.0,8
VEH03116,Sedan,40.0,6
VEH03117,Pickup,60.0,6
VEH03118,Pickup,50.0,8
VEH03119,SUV,40.0,9
VEH03120,Pickup,50.0,2
VEH03121,Sedan,50.0,10
VEH03122,SUV,100.0,3
VEH03123,SUV,60.0,10
VEH03124,Sedan,60.0,3
VEH03125,Pickup,80.0,3
VEH03126,Hatchback,70.0,7
VEH03127,Van,60.0,1
VEH03128,SUV,70.0,1
VEH03129,Sedan,50.0,3
VEH03130,SUV,70.0,2
VEH03131,SUV,60.0,8
VEH03132,SUV,80.0,0
VEH03133,SUV,70.0,11
VEH03134,Sedan,80.0,8
VEH03135,SUV,40.0,2
VEH03136,Sedan,100.0,6
VEH03137,SUV,70.0,10
VEH03138,Pickup,80.0,5
VEH03139,Sedan,50.0,9
VEH03140,SUV,70.0,8
VEH03141,Hatchback,90.0,2
VEH03142,SUV,70.0,1
VEH03143,Pickup,60.0,4
VEH03144,Van,50.0,9
VEH03145,SUV,50.0,0
VEH03146,SUV,60.0,1
VEH03147,Pickup,40.0,1
VEH03148,Pickup,50.0,8
VEH03149,Sedan,60.0,10
VEH03150,Sedan,40.0,8
VEH03151,SUV,90.0,3
VEH03152,SUV,40.0,1
VEH03153,Sedan,40.0,3
VEH03154,Pickup,100.0,7
VEH03155,SUV,80.0,6
VEH03156,Hatchback,40.0,8
VEH03157,Hatchback,70.0,9
VEH03158,SUV,50.0,4
VEH03159,Pickup,80.0,10
VEH03160,SUV,80.0,6
VEH03161,Sedan,60.0,9
VEH03162,Sedan,60.0,10
VEH03163,Pickup,70.0,5
VEH03164,SUV,70.0,4
VEH03165,Sedan,70.0,1
VEH03166,Sedan,70.0,1
VEH03167,Van,60.0,6
VEH03168,Van,90.0,8
VEH03169,SUV,70.0,10
VEH03170,SUV,50.0,1
VEH03171,Hatchback,50.0,5
VEH03172,Hatchback,70.0,0
VEH03173,Pickup,50.0,1
VEH03174,SUV,80.0,1
VEH03175,Hatchback,50.0,8
VEH03176,Hatchback,80.0,10
VEH03177,Sedan,80.0,7
VEH03178,SUV,50.0,4
VEH03179,Sedan,80.0,11
VEH03180,Hatchback,70.0,11
VEH03181,Sedan,80.0,5
VEH03182,Sedan,50.0,10
VEH03183,SUV,60.0,11
VEH03184,Sedan,60.0,8
VEH03185,Hatchback,50.0,1
VEH03186,SUV,100.0,3
VEH03187,Sedan,90.0,5
VEH03188,Hatchback,60.0,10
VEH03189,SUV,60.0,6
VEH03190,SUV,50.0,8
VEH03191,SUV,40.0,2
VEH03192,Sedan,50.0,3
VEH03193,Pickup,70.0,3
VEH03194,SUV,50.0,3
VEH03195,Sedan,70.0,0
VEH03196,SUV,90.0,1
VEH03197,Sedan,60.0,9
VEH03198,Pickup,40.0,5
VEH03199,Hatchback,70.0,0
VEH03200,Hatchback,50.0,11
